Muscle_ID,Equipment_ID,Name,ID,Exercise_Type_ID
1,,torso rotation,796,2
14,,trail running/walking,797,3
14,,trap bar deadlift,798,1
17,7,tricep dumbbell kickback,799,1
17,,tricep side stretch,800,2
1,,tuck crunch,801,2
4,7,two-arm dumbbell preacher curl,802,1
15,16,two-arm kettlebell clean,803,1
15,16,two-arm kettlebell jerk,804,1
15,16,two-arm kettlebell military press,805,1
12,16,two-arm kettlebell row,806,1
10,4,underhand cable pulldowns,807,1
12,,upper back stretch,808,2
9,,upper back-leg grab,809,2
15,3,upright barbell row,810,1
16,4,upright cable row,811,1
16,,upright row - with bands,812,1
15,,upward stretch,813,2
10,,v-bar pulldown,814,1
10,,v-bar pullup,815,1
9,,vertical swing,816,1
14,33,walking treadmill,817,3
11,,weighted ball hyperextension,818,2
1,,weighted ball side bend,819,2
17,,weighted bench dip,820,2
1,,weighted crunches,821,2
14,,weighted jump squat,822,2
10,,weighted pull ups,823,2
14,,weighted sissy squat,824,2
1,,weighted sit-ups - with bands,825,2
14,,weighted squat,826,1
14,3,wide stance barbell squat,827,1
9,,wide stance stiff legs,828,1
6,3,wide-grip barbell bench press,829,11
6,3,wide-grip decline barbell bench press,830,1
6,3,wide-grip decline barbell pullover,831,1
10,,wide-grip lat pulldown,832,1
10,,wide-grip pulldown behind the 13,833,1
10,23,wide-grip rear pull-up,834,1
4,3,wide-grip standing barbell curl,835,1
1,,wind sprints,836,3
2,,windmills,837,2
9,,world's greatest stretch,838,2
7,,wrist circles,839,1
